CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/aldt/2013;Algorithmic Decision Theory - Third International Conference ADT 2013 Bruxelles Belgium November 12-14 2013 Proceedings;ADT;Lecture Notes in Computer Science;8176;Springer;2013;978-3-642-41574-6
conf/aldt/2015;Algorithmic Decision Theory - 4th International Conference ADT 2015 Lexington KY USA September 27-30 2015 Proceedings;ADT;Lecture Notes in Computer Science;9346;Springer;2015;978-3-319-23113-6
conf/alenex/1999;Algorithm Engineering and Experimentation International Workshop ALENEX '99 Baltimore MD USA January 15-16 1999 Selected Papers;ALENEX;Lecture Notes in Computer Science;1619;Springer;1999;3-540-66227-8
conf/alenex/2001;Algorithm Engineering and Experimentation Third International Workshop ALENEX 2001 Washington DC USA January 5-6 2001 Revised Papers;ALENEX;Lecture Notes in Computer Science;2153;Springer;2001;3-540-42560-8
conf/alenex/2002;Algorithm Engineering and Experiments 4th International Workshop ALENEX 2002 San Francisco CA USA January 4-5 2002 Revised Papers;ALENEX;Lecture Notes in Computer Science;2409;Springer;2002;3-540-43977-3
conf/alenex/2003;Proceedings of the Fifth Workshop on Algorithm Engineering and Experiments Baltimore MD USA January 11 2003;ALENEX;?;?;SIAM;2003;0-89871-542-3
conf/alenex/2004;Proceedings of the Sixth Workshop on Algorithm Engineering and Experiments and the First Workshop on Analytic Algorithmics and Combinatorics New Orleans LA USA January 10 2004;ALENEX/ANALC;?;?;SIAM;2004;0-89871-564-4
conf/alenex/2005;Proceedings of the Seventh Workshop on Algorithm Engineering and Experiments and the Second Workshop on Analytic Algorithmics and Combinatorics ALENEX /ANALCO 2005 Vancouver BC Canada 22 January 2005;ALENEX/ANALCO;?;?;SIAM;2005;0-89871-596-2
conf/alenex/2006;Proceedings of the Eighth Workshop on Algorithm Engineering and Experiments ALENEX 2006 Miami Florida USA January 21 2006;ALENEX;?;?;SIAM;2006;978-1-61197-286-3
conf/alenex/2007;Proceedings of the Nine Workshop on Algorithm Engineering and Experiments ALENEX 2007 New Orleans Louisiana USA January 6 2007;ALENEX;?;?;SIAM;2007;978-1-61197-287-0
